Learn to Program: The Fundamentals;Behind every mouse click and touch-screen tap, there is a computer program that makes things happen. This course introduces the fundamental building blocks of programming and teaches you how to write fun and useful programs using the Python language.;Jennifer CampbellAssociate Professor, Teaching StreamDepartment of Computer Science199,913 Learners2 Courses, Paul GriesAssociate Professor, Teaching StreamDepartment of Computer Science199,913 Learners2 Courses, University of TorontoEstablished in 1827, the University of Toronto is one of the worldâs leading universities, renowned for its excellence in teaching, research, innovation and entrepreneurship, as well as its impact on economic prosperity and social well-being around the globe.;Python, Variables, and Functions, Strings and Designing Functions, Booleans, Import, Namespaces, and if Statements, For Loops and Fancy String Manipulation, While Loops, Lists, and Mutability, For Loops Over Indices, Parallel and Nested Lists and Strings, and Files, Tuples and Dictionaries;4.8;
Python for Everybody Specialization;This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.;Charles Russell SeveranceTop InstructorClinical ProfessorSchool of Information1,685,536 Learners19 Courses, University of MichiganThe mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future.;Programming for Everybody (Getting Started with Python), Python Data Structures, Using Python to Access Web Data, Using Databases with Python;4.8;
Java Programming and Software Engineering Fundamentals Specialization;Take your first step towards a career in software development with this introduction to Javaâone of the most in-demand programming languages and the foundation of the Android operating system. Designed for beginners, this Specialization will teach you core programming concepts and equip you to write programs to solve complex problems. In addition, you will gain the foundational skills a software engineer needs to solve real-world problems, from designing algorithms to testing and debugging your programs.;Susan H. RodgerProfessor of the PracticeComputer Science364,756 Learners6 Courses, Robert DuvallLecturer Computer Science362,315 Learners5 Courses, Owen AstrachanProfessor of the PracticeComputer Science362,315 Learners5 Courses, Andrew D. HiltonAssociate Professor of the PracticeElectrical and Computer Engineering422,076 Learners9 Courses, Duke UniversityDuke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world.;Programming Foundations with JavaScript, HTML and CSS, Java Programming: Solving Problems with Software, Java Programming: Arrays, Lists, and Structured Data, Java Programming: Principles of Software Design;4.6;
IntroducciÃ³n a Java;Me llamo Elisa Viso y una de mis pasiones es la de programar y enseÃ±ar a programar. El lenguaje Java es uno de los que mÃ¡s me ha gustado en mis 45 aÃ±os que llevo programando. Si bien te podrÃ¡ parecer un poco complicado empezar a programar en Java, una vez que cubras los conceptos bÃ¡sicos verÃ¡s quÃ© rÃ¡pido se avanza.Java, como todos los lenguajes de programaciÃ³n bien hechos, te dejan hacer cualquier cosa (algunas de ellas con mÃ¡s trabajo que en otros lenguajes y otras casi directamente de cÃ³mo piensas la soluciÃ³n al problema). Pero una vez que pasas esa primera etapa, programar te va a hacer sentir casi como un sacerdote de un culto extraÃ±o, que puede hacer que las cosas sucedan a placer, se vean exactamente como tÃº quieres y obtengas una satisfacciÃ³n enorme de haber construido algo que puedes ver y repartirlo para que otros lo usen.Este es un curso introductorio a la programaciÃ³n en Java. Como Java es un lenguaje orientado a objetos de propÃ³sito general, revisaremos los conceptos bÃ¡sicos del lenguaje como clases e interfaces. Veremos los ingredientes bÃ¡sicos de una clase como constantes y variables, funciones (mÃ©todos), y cÃ³mo organizar estos ingredientes dentro de una clase. TambiÃ©n veremos la utilizaciÃ³n de clases de las bibliotecas de Java.En el primer mÃ³dulo revisaremos el concepto de orientaciÃ³n a objetos aplicÃ¡ndolo en la vida real.En el segundo mÃ³dulo revisamos una herramienta de diseÃ±o orientado a objetos, llamada tarjetas de responsabilidades, y a partir de estas Ãºltimas diseÃ±amos los encabezados de los distintos servicios que se van a dar, codificÃ¡ndolos en una interfaz.En el tercer mÃ³dulo terminaremos la construcciÃ³n de la clase que corresponde a este problema, aclarando tÃ©rminos comunes en Java, revisando la sintaxis del lenguaje y la autodocumentaciÃ³n con la que cuenta.En el cuarto mÃ³dulo utilizaremos lo que ya tenemos para construir una clase mÃ¡s compleja que proporciones arreglos de objetos de la clase que ya tenemos y examinando con bastante profundidad tanto el esquema conceptual de los arreglos como su implementaciÃ³n en el modelo de memoria de Java.En el quinto y Ãºltimo mÃ³dulo profundizaremos en el uso de repeticiÃ³n en ejecuciÃ³n y, no puede faltar, los distintos tipos de ejecuciÃ³n condicional que provee el lenguaje.En este curso se proveerÃ¡ al participante con conocimientos del lenguaje Java que le permitirÃ¡n resolver una amplia gama de problemas con este lenguaje. AprenderÃ¡ a:â¢	Plantear la soluciÃ³n de un problema utilizando orientaciÃ³n a objetos.â¢	Programar la soluciÃ³n de los problemas utilizando las siguientes caracterÃ­sticas del lenguaje Java:               -Interfaces y clases               -MÃ©todos constructores de objetos, de acceso, de actualizaciÃ³n, de implementaciÃ³n y auxiliares.               -Atributos y variables locales de tipos primitivos o de clase.               -UtilizaciÃ³n de clases de biblioteca.               -Esquemas de ejecuciÃ³n como la repeticiÃ³n y la selecciÃ³n de enunciados               -Arreglos;Elisa Viso GurovichProfesora de la Facultad de Ciencias Departamento de MatemÃ¡ticas84,833 Learners1 Course, Universidad Nacional AutÃ³noma de MÃ©xicoLa Universidad Nacional AutÃ³noma de MÃ©xico fue fundada el 21 de septiembre de 1551 con el nombre de la Real y Pontificia Universidad de MÃ©xico. Es la mÃ¡s grande e importante universidad de MÃ©xico e IberoamÃ©rica. Tiene como propÃ³sito primordial estar al servicio del paÃ­s y de la humanidad, formar profesionistas Ãºtiles a la sociedad, organizar y realizar investigaciones, principalmente acerca de las condiciones y problemas nacionales, y extender con la mayor amplitud posible, los beneficios de la cultura.;El proceso de programaciÃ³n , ProgramaciÃ³n bÃ¡sica en Java , Avanzando en la programaciÃ³n de Java, Arreglos y su manipulaciÃ³n , InteracciÃ³n con el usuario;4.4;
Programming for Everybody (Getting Started with Python);This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook âPython for Everybodyâ.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.;Charles Russell SeveranceTop InstructorClinical ProfessorSchool of Information1,685,536 Learners19 Courses, University of MichiganThe mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future.;Chapter One - Why we Program?, Installing and Using Python, Chapter One: Why We Program (continued), Chapter Two: Variables and Expressions, Chapter Three: Conditional Code, Chapter Four: Functions, Chapter Five: Loops and Iteration;4.8;
Introduction to Computer Programming ;This MOOC provides you with the foundational skill set required to write computer programs. If you are interested in learning how to write interactive, graphical programs from an introductory level in a real programming language, this is the course for you. You will begin by learning the basics of editing and running programs. Then you will learn how to create 2D graphics using shapes and coordinates. Finally, you will learn how to create interactive graphics that you can control with the mouse. You will even solve a set of interactive puzzles using your coding skills in the Sleuth game which has been created especially for this course. The course uses the Javascript language and the p5.js library.;Dr Edward AnsteadAssociate LecturerComputing, Goldsmiths19,155 Learners3 Courses, Dr Simon KatanLecturerComputing, Goldsmiths20,175 Learners3 Courses, University of LondonThe University of London is a federal University which includes 18 world leading Colleges. Our distance learning programmes were founded in 1858 and have enriched the lives of thousands of students, delivering high quality University of London degrees wherever our students are across the globe. Our alumni include 7 Nobel Prize winners. Today, we are a global leader in distance and flexible study, offering degree programmes to over 50,000 students in over 180 countries. To find out more about studying for one of our degrees where you are, visit www.london.ac.uk, Goldsmiths, University of LondonChampioning research-rich degrees that provoke thought, stretch the imagination and tap into tomorrowâs world, at Goldsmiths weâre asking the questions that matter now in subjects as diverse as the arts and humanities, social sciences, cultural studies, computing, and entrepreneurial business and management. We are a community defined by its people: innovative in spirit, analytical in approach and open to all.;Your development environment, Drawing in 2D, Variables, objects and interaction;4.3;
Python Programming: A Concise Introduction;The goal of the course is to introduce students to Python Version 3.x programming using hands on instruction. It will show how to install Python and use the Spyder IDE (Integrated Development Environment) for writing and debugging programs. The approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept.  At the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading.  It is intended for students with little or no programming background, although students with such a background should be able to move forward at their preferred pace.The course is four modules long and is designed to be completed in four weeks.;Bill BoydVisiting Associate Professor and Visiting Scholar Quantitative Analysis Center98,555 Learners1 Course, Wesleyan UniversityAt Wesleyan, distinguished scholar-teachers work closely with students, taking advantage of fluidity among disciplines to explore the world with a variety of tools. The university seeks to build a diverse, energetic community of students, faculty, and staff who think critically and creatively and who value independence of mind and generosity of spirit.;Beginning to Program in Python, Working with Lists and Importing Libraries. The Random library., Tuples, Data Dictionaries, Text and CSV Files, Functional Values, Sorting, Formatting, Statistics, and a Menu Driven Database Program;4.6;
Fundamentos de Excel para Negocios;DescripciÃ³n del curso: Cuando finalices este curso habrÃ¡s logrado un gran nÃºmero de habilidades como introducir informaciÃ³n, ordenarla, manipularla, realizar cÃ¡lculos de diversa Ã­ndole (matemÃ¡ticos, trigonomÃ©tricos, estadÃ­sticos, financieros, ingenieriles, probabilÃ­sticos), extraer conclusiones, trabajar con fechas y horas, construir grÃ¡ficos, imprimir reportes y muchas mÃ¡s.Asimismo, los ejemplos sobre los cuales se apoyan los contenidos dictados en este curso tienen una profunda aplicabilidad al mundo de los negocios, con lo que su inmediata utilizaciÃ³n empresarial estÃ¡ al alcance de la mano.Finalmente, los profesores que han diseÃ±ado y elaborado este curso para ti, no solamente dan una visiÃ³n acadÃ©mica del software sino que, debido a su gran trayectoria profesional apoyada justamente en una profunda utilizaciÃ³n de Excel, te transmitirÃ¡n su propia vivencia que te permitirÃ¡ tener una visiÃ³n mÃ¡s concreta de las posibilidades que te brinda esta herramienta.;Jorge LardizabalLic. en AdministraciÃ³n de EmpresasFacultad de Ciencias Empresariales143,553 Learners1 Course, Paola SerafiniContador PÃºblicoFacultad de Ciencias Empresariales143,553 Learners1 Course, Universidad AustralLa Universidad Austral se propone servir a la sociedad a travÃ©s de la bÃºsqueda de la verdad, mediante el desarrollo y transmisiÃ³n del conocimiento, la formaciÃ³n en las virtudes y la atenciÃ³n de cada persona segÃºn su destino trascendente, proponiendo un estilo de liderazgo intelectual, profesional, social y pÃºblico.;IntroducciÃ³n, configuraciÃ³n y manejo general de Excel, Trabajando con la planilla, Copiar, pegar y mover celdas, Analizando informaciÃ³n, Funciones en Excel, Creando grÃ¡ficos, Imprimiendo planillas, Manejo avanzado de celdas;4.7;
Introduction to Programming with MATLAB;This course teaches computer programming to those with little to no previous experience. It uses the programming system and language called MATLAB to do so because it is easy to learn, versatile and very useful for engineers and other professionals. MATLAB is a special-purpose language that is an excellent choice for writing moderate-size programs that solve problems involving the manipulation of numbers. The design of the language makes it possible to write a powerful program in a few lines. The problems may be relatively complex, while the MATLAB programs that solve them are relatively simple: relative, that is, to the equivalent program written in a general-purpose language, such as C++ or Java. As a result, MATLAB is being used in a wide variety of domains from the natural sciences, through all disciplines of engineering, to finance, and beyond, and it is heavily used in industry. Hence, a solid background in MATLAB is an indispensable skill in todayâs job market.Nevertheless, this course is not a MATLAB tutorial. It is an introductory programming course that uses MATLAB to illustrate general concepts in computer science and programming. Students who successfully complete this course will become familiar with general concepts in computer science, gain an understanding of the general concepts of programming, and obtain a solid foundation in the use of MATLAB.Students taking the course will get a MATLAB Online license free of charge for the duration of the course. The students are encouraged to consult the eBook that this course is based on. More information about these resources can be found on the Resources menu on the right.;Akos LedecziProfessor of Computer Engineering / Senior Research ScientistElectrical Engineering &amp, Computer Science / Institute for Software Integrated Systems251,605 Learners1 Course, Mike FitzpatrickProfessor Emeritus of Computer Science, Computer Engineering, Electrical Engineering, Neurosurgery, and RadiologyElectrical Engineering &amp, Computer Science, Neurological Surgery, Radiology &amp, Radiological Sciences251,605 Learners1 Course, Vanderbilt UniversityVanderbilt University, located in Nashville, Tenn., is a private research university and medical center offering a full-range of undergraduate, graduate and professional degrees.;Course Pages, The MATLAB Environment, Matrices and Operators, Functions, Programmer's Toolbox, Selection, Loops, Data Types, File Input/Output;4.8;
Programming Foundations with JavaScript, HTML and CSS;Learn foundational programming concepts (e.g., functions, for loops, conditional statements) and how to solve problems like a programmer. In addition, learn basic web development as you build web pages using HTML, CSS, JavaScript. By the end of the course, will create a web page where others can upload their images and apply image filters that you create.After completing this course, you will be able to:1. Think critically about how to solve a problem using programming,2. Write JavaScript programs using functions, for loops, and conditional statements,3. Use HTML to construct a web page with paragraphs, divs, images, links, and lists,4. Add styles to a web page with CSS IDs and classes, and5. Make a web page interactive with JavaScript commands like alert, onClick, onChange, adding input features like an image canvas, button, and slider.;Susan H. RodgerProfessor of the PracticeComputer Science364,756 Learners6 Courses, Robert DuvallLecturer Computer Science362,315 Learners5 Courses, Owen AstrachanProfessor of the PracticeComputer Science362,315 Learners5 Courses, Andrew D. HiltonAssociate Professor of the PracticeElectrical and Computer Engineering422,076 Learners9 Courses, Duke UniversityDuke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world.;Welcome, Designing a Web Page with HTML and CSS, Algorithms and Programming Concepts, JavaScript for Web Pages, MiniProject: Image Filters on the Web;4.6;
